departamento;educacion_superior;numero
BOGOTA D.C ;doctorado;2215
BOGOTA D.C ;especializacion_medico_quir;2733
BOGOTA D.C ;especializacion_tecnico;106
BOGOTA D.C ;especializacion_tecnologica;1914
BOGOTA D.C ;especializacion_universitaria;38933
BOGOTA D.C ;formacion_tecnica_profesional;38061
BOGOTA D.C ;maestr_a;25431
BOGOTA D.C ;tecnologica;157675
BOGOTA D.C ;universitaria;525511
BOGOTA D.C ;matricula;792579
BOGOTA D.C ;ies_con_oferta;126
ANTIOQUIA ;doctorado;1596
ANTIOQUIA ;especializacion_medico_quir;382
ANTIOQUIA ;especializacion_tecnico;0
ANTIOQUIA ;especializacion_tecnologica;2344
ANTIOQUIA ;especializacion_universitaria;10161
ANTIOQUIA ;formacion_tecnica_profesional;3288
ANTIOQUIA ;maestr_a;7251
ANTIOQUIA ;tecnologica;104298
ANTIOQUIA ;universitaria;205054
ANTIOQUIA ;matricula;334374
ANTIOQUIA ;ies_con_oferta;131
VALLE DEL CAUCA ;doctorado;697
VALLE DEL CAUCA ;especializacion_medico_quir;384
VALLE DEL CAUCA ;especializacion_tecnico;0
VALLE DEL CAUCA ;especializacion_tecnologica;1050
VALLE DEL CAUCA ;especializacion_universitaria;4379
VALLE DEL CAUCA ;formacion_tecnica_profesional;7186
VALLE DEL CAUCA ;maestr_a;5276
VALLE DEL CAUCA ;tecnologica;48328
VALLE DEL CAUCA ;universitaria;111712
VALLE DEL CAUCA ;matricula;179012
VALLE DEL CAUCA ;ies_con_oferta;108
ATLANTICO ;doctorado;298
ATLANTICO ;especializacion_medico_quir;401
ATLANTICO ;especializacion_tecnico;0
ATLANTICO ;especializacion_tecnologica;205
ATLANTICO ;especializacion_universitaria;3304
ATLANTICO ;formacion_tecnica_profesional;6836
ATLANTICO ;maestr_a;2667
ATLANTICO ;tecnologica;32999
ATLANTICO ;universitaria;87228
ATLANTICO ;matricula;133938
ATLANTICO ;ies_con_oferta;45
SANTANDER ;doctorado;152
SANTANDER ;especializacion_medico_quir;213
SANTANDER ;especializacion_tecnico;0
SANTANDER ;especializacion_tecnologica;441
SANTANDER ;especializacion_universitaria;6025
SANTANDER ;formacion_tecnica_profesional;1550
SANTANDER ;maestr_a;10720
SANTANDER ;tecnologica;40328
SANTANDER ;universitaria;69546
SANTANDER ;matricula;128975
SANTANDER ;ies_con_oferta;63
